pelicula,genero,duracion,presupuesto,recaudacion,director,fecha_nac_director,actor_protagonista,fecha_nac_prota
Cruel Gun Story (Kenjû zankoku monogatari),Histórico,3.35,10236907.63,17782007.24,Faustina Marchment,4/14/1958,Barbee Balma,11/24/2021
Suicide Kings,Animación,3.73,14458648.21,14140437.59,Felix Winfindine,4/1/2010,Galven Puckham,6/9/1931
Danton,Drama,2.04,16041450.13,20152850.28,Kleon L'oiseau,9/5/1948,Hoyt Macauley,4/15/2024
"Naughty Room, The",Cine negro,1.83,14810263.24,32744223.86,Giffard Evershed,9/18/1957,Kathryn Hardwick,9/19/2021
Tammy and the T-Rex,Documental,1.23,27298939.86,15856513.45,Kean Beretta,8/6/1955,Greta Learmount,4/28/2004
Louisiana Story,Animación,1.42,19331232.61,51534001.05,Donella Woltman,10/28/1962,Cesare Goretti,3/11/1940
"Pirates of Penzance, The",Drama,3.19,29875900.12,38636158.77,Raimund Keable,12/28/2017,Theressa Heugle,4/21/2006
Troll,Terror,2.59,9836594.16,20554530.28,Estella Malsher,8/27/1965,Astra Borleace,1/25/2020
"White Diamond, The",Acción,1.13,11720055.73,8139729.23,Brynna Easum,3/6/1971,Rich Mowbray,8/18/1932
Watership Down,Ciencia ficción,3.13,16825731.97,34282859.78,Ody Rivers,2/12/1956,Alister Tsarovic,10/6/1952
Samson and Delilah,Romance,3.09,9671695.52,20061179.12,Ammamaria Beany,5/29/1961,Percival Ricardou,2/21/1967
Henry Kissinger: Secrets of a Superpower (Henry Kissinger - Geheimnisse einer Supermacht),Suspense,2.23,6035854.42,3602798.95,Nevsa Hutson,5/3/1946,Yolande Coad,11/19/1955
"Man, Woman and Beast (L'uomo la donna e la bestia)",Musical,3.37,18246514.19,32977462.97,Lurline Canet,11/22/1930,Kania MacDearmaid,3/25/1984
Dream (Bi-mong),Documental,1.08,22463522.13,29073332.4,Nina Beadham,5/17/1963,Renata Krishtopaittis,7/17/2023
Kon-Tiki,Western,3.85,26093950.88,30298829.1,Donia Negri,4/29/1934,Moina Smithe,9/19/1954
Pekka ja Pätkä lumimiehen jäljillä,Aventura,3.32,17921588.57,30367465.96,Dave Ingerson,9/3/1983,Claretta Gration,6/29/2010
"Follow Me, Boys!",Romance,2.64,24035483.41,21896082.91,Nat Snelman,11/1/1953,Christie Semarke,7/15/1994
Suicide Room,Ciencia ficción,2.23,7043214.76,12484975.72,Garner Hotton,3/29/1949,Melicent Brashaw,3/20/1942
Terumae romae (Thermae Romae),Acción,3.33,28155368.8,68490676.24,Juliana Filipychev,9/28/1998,Shaine Jado,6/30/1977
A Spell to Ward Off the Darkness,Misterio,1.59,10062038.64,16558700.69,Nady Lythgoe,6/26/2016,Shandee Wiggett,9/1/1993
Seed,Comedia,3.44,11294080.62,22981103.48,Marilee Drinkall,3/30/1949,Filia Ropkins,6/26/1957
Hostel: Part II,Bélico,2.44,9453773.88,23066260.42,Desiri Cahn,5/20/1951,Alessandra Rubinovici,11/27/1939
Stuart Little,Bélico,1.75,27354537.57,26109490.75,Willetta Robak,6/10/1946,Casandra Sellers,2/10/2012
Shadows,Suspense,2.29,27608880.79,38676630.15,Elbertina Calendar,11/17/1975,Marcelle Karpol,10/30/1976
Adam Resurrected,Suspense,1.23,7234495.82,8457119.34,Merissa Bertlin,4/4/2017,Willis Ganders,4/7/2005
Thirteen Ghosts (a.k.a. Thir13en Ghosts),Acción,3.65,10277011.63,9853593.34,Almeta Bruff,11/25/1940,Amy Antao,11/4/1984
"Man Who Could Work Miracles, The",Terror,3.8,26515417.62,61203619.52,Chevalier Lindbergh,3/30/1970,Cinda Gleadhall,11/13/1990
Poison Ivy,Acción,3.77,24007235.02,57561573.67,Yorke Possa,5/26/1970,Wendeline Surtees,7/22/2023
Galaxy of Terror (Quest),Histórico,1.19,13467216.22,37981353.87,Mellicent Gotthard,11/25/2001,Hirsch Aimeric,2/18/1988
Azumi 2: Death or Love,Drama,3.62,16646296.55,31105469.9,Rozanna Gellan,5/12/1974,Norry Benbrick,3/4/2019
Melinda and Melinda,Terror,1.72,20942428.11,26949716.56,Nollie Karpov,5/23/1973,Mahalia Kristof,8/30/1957
The Fat Albert Halloween Special,Misterio,1.01,27923729.7,62686003.01,Buffy Yoxall,12/23/1968,Tobias Gallo,1/10/1979
22 Bullets (L'immortel),Aventura,1.58,27919365.53,66821111.64,Keslie Divisek,9/3/1943,Keriann Gomez,6/8/1983
Played,Fantasía,3.76,11241613.01,10047410.96,Bing Warsop,10/27/1979,Prudy Gapp,2/22/1985
Big Boys Gone Bananas!*,Ciencia ficción,1.35,7563602.79,19270757.83,Mellisent Heeks,4/19/1948,Kylynn Thraves,5/5/1973
Destiny Turns on the Radio,Misterio,1.07,14166970.14,35809042.7,Brandtr Kett,5/3/2024,Melinde Gianni,9/10/1964
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Histórico,1.07,10534415.61,23686338.24,Zaccaria Peedell,10/10/1957,Esmaria Mateo,8/15/2017
Dona Flor and Her Two Husbands (Dona Flor e Seus Dois Maridos),Aventura,3.26,23498053.48,25956843.04,Ofilia Boken,6/12/1951,Sindee Kirkam,11/3/1947
"Louise Bourgeois: The Spider, the Mistress and the Tangerine",Ciencia ficción,1.95,9092274.63,17960487.1,Ashli O'Donovan,4/3/2005,Friederike Richfield,10/15/1995
Romero,Comedia,2.97,20082328.17,59716727.24,Aubrie Alp,12/27/2023,Hynda Cashin,6/15/1981
Saints and Soldiers,Romance,3.99,28971201.23,29554178.63,Hephzibah Dulson,4/23/1968,Fairleigh Maywood,7/30/1961
Iris,Comedia,3.81,15493803.42,40104422.23,Shawn Serrurier,10/2/1980,Wesley Barthrup,4/6/1998
Berta's Motives (Los motivos de Berta: Fantasía de Pubertad),Cine negro,1.79,21088139.97,59320388.81,Stillman Catton,7/14/1978,Gerrard Urion,11/25/1970
Esther Kahn,Misterio,1.78,21190356.72,40856131.68,Avril Crouch,7/25/1999,Sascha Jenkerson,3/15/2020
Siberia,Animación,3.59,8968529.25,15419345.05,Mandie Grishakin,6/27/1938,Kara-lynn Roydon,7/15/2006
Red-Headed Woman,Western,1.88,10795792.81,20960157.55,Marget Monkeman,9/29/1989,Lawry Burley,5/6/2009
"Night the Lights Went Out in Georgia, The",Ciencia ficción,3.7,9393579.74,16383615.18,Carmine D'Aguanno,4/29/2020,Gabe Furness,1/30/1950
Phat Beach,Acción,3.39,20923998.97,62483890.51,Gwenora Crucetti,11/7/2024,Wendall O'Crevy,7/7/2005
7th Heaven (Seventh Heaven),Musical,2.52,9580127.37,19674844.7,Isiahi Belamy,8/10/1933,Man Fisbey,6/24/1992
Remember My Name,Western,3.27,29416894.7,31447434.75,Rosco Shepherdson,12/5/1946,Kakalina Sivyour,7/2/1995
Firehouse Dog,Romance,2.13,5787508.01,3838385.41,Roger Soonhouse,10/6/1941,Romona Jorczyk,2/25/1941
Bloodbrothers,Documental,1.8,28202220.22,71346954.69,Gaby Quipp,1/22/2009,Crista Dewey,10/16/1962
Experience Preferred... But Not Essential,Animación,3.33,7360799.79,8009613.08,Randie Mosdall,5/14/1956,Issi Siaskowski,5/15/1936
Seed,Drama,2.57,16278073.18,23177935.49,Lynde Tibbits,9/8/1939,Marillin Speenden,7/31/2012
The Prince,Suspense,3.82,22349226.12,48165052.75,Maurise Stevens,10/8/1947,Annetta Gilley,9/22/1931
Night and Day (Bam gua nat),Acción,3.56,26010540.86,50122920.3,Tommy Allwood,10/26/1941,Alysa Wyllie,6/18/2010
"City Dark, The",Acción,3.56,8739662.36,18730073.85,Erin Treleven,5/26/1966,Herrick Heatley,4/30/1989
Spider Forest (Geomi sup),Misterio,1.66,23165720.6,20830145.61,Astrid Dumke,2/10/1994,Benton O' Reagan,4/22/1949
Triangle,Misterio,2.46,17756616.09,39861573.75,Tessa Teresse,10/13/1940,Alvan Esser,3/5/1936
"Havre, Le",Romance,3.29,6728386.03,8531995.77,Bartolemo Spinke,11/7/1965,Gale Streather,2/8/1934
Go West,Animación,4.0,17282209.18,32755490.15,Brad Cuttings,10/25/1986,Ulberto Smorthit,7/10/2006
"Invisible Ray, The",Histórico,2.14,29472600.77,55139789.22,Hector Shillan,11/23/1985,Caye Schimke,1/2/1934
Skyfall,Ciencia ficción,1.38,24479390.59,62527161.47,Say Dicty,9/5/2025,Lemmy Kinvig,3/7/1983
"Making Plans for Lena (Non ma fille, tu n'iras pas danser)",Misterio,2.0,14990382.36,11346893.3,Tobit Currier,2/2/1931,Mohammed Beasant,1/31/1979
Forgetting Sarah Marshall,Animación,1.75,18269715.25,10603224.07,Jorrie Hardwell,11/16/1991,Karalynn Spacey,12/10/1983
"Golden Child, The",Romance,1.01,18604966.57,18679606.82,Leshia Nower,4/23/1962,Beale Leatherbarrow,2/1/1972
Mitä meistä tuli,Bélico,1.72,7423315.03,17742701.96,Karola Champkins,3/16/1979,Bernard Corpes,8/26/1991
Henry: Portrait of a Serial Killer,Musical,1.01,8093563.9,15483387.58,Martainn Morten,2/3/1967,Christalle Bromige,1/4/2004
Dead Weekend,Ciencia ficción,3.19,7259167.22,13743426.35,Lyssa Izchaki,3/6/1974,Pierce Vonasek,5/19/2004
"Other Side of Bollywood, The",Cine negro,1.92,28623318.18,37925701.12,Kathrine Quarterman,3/9/1986,Bibbye Squirrel,5/20/2019
Sun Kissed,Drama,1.45,29865863.93,52323334.65,Zeb Lorent,11/3/1946,Chaunce Digman,6/23/1942
Cabin Fever: Patient Zero,Drama,1.5,15068735.71,13269801.04,Suki Coneybeare,1/23/2026,Karney Ferroni,3/1/2013
"Pig's Tale, A",Documental,1.18,9863549.61,22641794.82,Leupold Jackman,9/2/2020,Phylys Matasov,3/10/1974
"Barkleys of Broadway, The",Histórico,1.4,17947141.26,34355955.43,Sibylla Elwood,9/7/1950,Binnie Deelay,11/13/1964
"Five-Year Engagement, The",Cine negro,1.99,10318732.53,27254162.01,Guinna Antonowicz,2/18/1949,Brade Bannerman,2/24/1959
Chaos,Documental,2.54,24876856.99,73262092.47,Henrieta Batcock,12/31/1999,Corinna Blinde,2/18/1939
"Muppets, The",Cine negro,3.46,26779142.15,42621447.9,Rhys Solleme,11/7/1969,Ransell O'Heagertie,5/26/2012
And Nobody Weeps for Me (Und keiner weint mir nach),Aventura,3.42,13640901.06,20426666.95,Reuven Heigold,1/17/1939,Saw Moorton,5/9/2000
In Hell,Animación,3.34,10027507.03,17838171.36,Vanni Muldrew,10/21/2005,Maxi Soars,7/30/1944
The Captains,Western,1.92,5552153.63,6055534.57,Sylvan Heffernan,8/15/1986,Terrye Penburton,6/16/1936
Tormented,Comedia,3.42,13225917.22,23511072.47,Bliss Clow,3/14/1975,Mallory Lensch,8/19/2005
Tactical Force,Acción,2.54,9029830.49,13193817.71,Blake Frier,6/3/1972,Delmor Huglin,3/22/2022
My Mom's New Boyfriend,Bélico,3.26,14170327.04,38347751.97,Mel Plumstead,1/12/1936,Jillayne Osborne,1/11/2007
Deadline,Drama,2.75,7648561.45,8802654.85,Stephannie Jennins,8/10/1931,Glennie Westrey,1/3/2010
Dumplings (Gaau ji),Fantasía,2.55,10787843.34,28541947.29,Curt Camacke,12/14/1973,Clive Fennelly,1/19/1966
"Testament of Orpheus, The (Testament d'Orphée)",Animación,2.03,22875496.12,38778626.64,Pietra Calderon,2/15/2000,Peyton McDougle,5/8/1972
"Bon Voyage, Charlie Brown (and Don't Come Back!)",Cine negro,3.78,12736756.95,26621622.89,Audrye Canti,12/20/1987,Sarge Barribal,9/26/1994
"Personals, The (Zheng hun qi shi)",Western,3.07,22274853.15,14494041.99,Lynea Twopenny,3/26/2008,Hunfredo Dranfield,6/30/2007
Taqwacore: The Birth of Punk Islam,Comedia,2.87,21415197.81,55555628.98,Man Hasty,1/31/2011,Gnni Britney,3/12/1997
Taxi!,Animación,3.57,20379018.01,56667781.72,Netti O' Timony,11/26/1966,Katinka Dawes,1/18/2011
"Crimson Pirate, The",Bélico,2.07,21640749.77,62164037.4,Demott Bartolomeo,4/12/2023,Chelsae Burdon,1/2/1993
Kids of Survival,Documental,1.38,5456567.37,14598993.79,Nicolas Hachard,10/7/2012,Gaye Poytress,12/8/1993
Private Confessions,Comedia,3.38,28844797.72,79733610.99,Aurea Cruxton,12/31/1939,Adrea McCullen,12/22/2020
Kit Kittredge: An American Girl,Acción,2.91,27131920.4,41474415.4,Analise Lowensohn,7/23/2023,Olive Nystrom,7/19/1951
Faith Like Potatoes,Cine negro,2.2,10918783.77,12616054.55,Caroljean Schenfisch,6/8/2005,Denna Heine,4/29/1952
Carpool,Misterio,3.99,29287435.65,29976748.07,Eduard Eustes,10/22/1979,Coop Pulham,2/10/1970
"Core, The",Animación,3.94,18780612.97,21241972.3,Temp Yewdell,3/2/1995,Elyse Ginger,11/10/1964
Sitting Bull,Comedia,2.04,5418930.85,14458084.71,Elonore Bracer,5/10/1971,Odelinda Sydenham,10/20/2025
"Purple Rose of Cairo, The",Western,2.27,17717808.86,42421688.34,Mathias Parry,4/25/1970,Thaddeus Scardifield,5/21/1972
Wild Animals (Yasaeng dongmul bohoguyeog),Aventura,3.3,28359845.89,63887030.78,Cyndi Stoak,2/7/2003,Nicko Minerdo,11/29/1941
Small Town Girl,Documental,3.66,23712020.07,34064526.39,Andy Stonner,6/11/1986,Brand Spoors,12/18/1953
"Good Lawyer's Wife, A (Baramnan gajok)",Histórico,2.67,22178676.11,55570577.34,Grantham Drinkeld,9/4/2020,Leeanne Richfield,4/17/1963
Apollo 13: To the Edge and Back,Musical,1.42,18394731.91,37509665.62,Fifi Keirl,12/3/1943,Nikki Lakin,8/29/1972
Arthur and the Revenge of Maltazard (Arthur et la vengeance de Maltazard),Romance,1.46,14611494.59,39873732.9,Willow Garside,3/3/1992,Rosabel Jendrusch,1/11/1949
The Last Time I Saw Macao,Ciencia ficción,2.43,20614238.17,54860852.66,Marlo Fearnyhough,11/3/1952,Bartlet Bisson,9/16/1949
Skokie ,Cine negro,1.13,7704022.79,12213505.13,Torrin Symons,9/26/1954,Dorella Goadby,1/30/2002
Dinner with Friends,Suspense,2.5,19210330.16,41943816.26,Nari Gammell,1/18/2013,Onfroi Heinonen,7/12/1988
Confessions of a Driving Instructor,Cine negro,2.96,22452385.81,24953462.29,Claudian O'Spellissey,7/11/2007,Cordy Frohock,3/19/1956
Girl with a Pearl Earring,Ciencia ficción,2.11,17806103.04,17191986.84,Ludovika Poetz,4/22/2017,Margeaux Langcaster,3/18/1942
I Am Trying to Break Your Heart,Comedia,1.09,28006867.98,70353023.74,Amble Mincini,7/31/2010,Burke Rushforth,1/30/1954
Cold Mountain,Romance,1.55,28054447.64,60777581.19,Gavan Martinec,10/26/1977,Modestia Donner,12/23/1971
99 River Street,Cine negro,3.49,25041989.99,31001055.55,Bar O Mullen,2/13/1934,Karrah Durrington,4/30/1979
"Long Way Down, A",Ciencia ficción,1.25,21017585.48,16168818.63,Cissiee Grubb,7/14/1960,Brinna Atyea,6/30/1938
Tupac: Resurrection,Documental,1.58,21045967.5,18338436.93,Corenda Skegg,8/20/2019,Gareth Gatcliff,11/20/1980
"Barrens, The",Bélico,3.02,9062375.34,11925167.41,Celle Davidou,12/9/1996,Issie Whitcher,12/31/2024
Alice,Ciencia ficción,1.34,28264570.58,62210648.82,Ferdie Hallifax,3/27/1964,Ibby Gallgher,11/15/1950
Suspect X (Yôgisha X no kenshin),Histórico,2.43,6396126.81,7126274.5,Roi Dawkins,12/24/1972,Farand Wood,3/23/1976
One Husband Too Many,Ciencia ficción,3.68,8727429.21,13215624.21,Bambie O'Hallihane,5/18/1989,Cassie Peres,8/13/1930
Paradise Now,Animación,3.85,9215465.79,24728346.85,Charlotte Gorghetto,1/13/1969,Bryn Haskur,2/22/1960
"Filth and the Fury, The",Musical,3.23,18105038.95,35850789.25,Lanie De Caville,1/11/1965,Zandra Traviss,1/5/1979
Stomp the Yard,Documental,3.27,21826024.4,31779474.39,Marta Honack,3/5/1942,Nicolais Sharvill,7/13/1964
Russian Doll,Histórico,3.78,5125751.48,6104622.17,Micaela Paskerful,2/25/1995,Cheston Lyster,4/17/1932
Boy Eating the Bird's Food (To agori troei to fagito tou pouliou),Ciencia ficción,1.76,6455415.39,6980512.25,Calypso Sterling,8/25/1939,Adey Peppard,4/14/2012
Oasis,Documental,2.96,11548415.09,30440831.86,Keven Roseman,11/19/1931,Harland Reap,12/17/1975
"End of Poverty, The",Comedia,1.29,18043179.72,47234250.49,Minnie Jessope,1/11/2013,Hadley Summerson,10/22/1994
Girl 6,Documental,1.06,22116343.56,61602943.4,Elane Brett,4/26/2016,Janek Goode,12/28/1958
"Act in Question, The (Acto en cuestión, El)",Acción,3.98,11884555.1,19488927.01,Jobi Leroy,9/24/2005,Lacy Ainsley,4/14/2002
Tangled,Bélico,2.36,27989302.36,79026430.01,Rudy Currm,9/5/1933,Desdemona Birch,6/7/1951
Desperate Living,Acción,1.33,22247565.99,63043357.14,Carma Nast,4/5/1948,Shirley Trafford,1/27/1965
Je m'appelle Elisabeth,Ciencia ficción,2.07,16208291.76,11985996.83,Bibby Vasyunin,9/28/1979,Dacie Redford,7/8/1933
Kolmistaan,Comedia,3.32,23628424.46,62020127.26,Dominique Garie,12/15/1995,Maynard Tuison,8/13/1933
"Iceman Tapes: Conversations with a Killer, The",Suspense,3.81,25527574.81,69422831.48,Faber Breckell,11/4/1993,Rochell Wannan,3/23/1970
Hippie Masala - Forever in India,Musical,1.23,11903623.7,33687351.64,Antonino Dumbare,6/30/2023,Galvan Karczinski,6/30/1991
"Life and Adventures of Santa Claus, The",Comedia,2.47,20430685.85,39405245.11,Mendie Deelay,3/12/1981,Kania Van Hove,2/8/1950
"Kings of Summer, The",Cine negro,1.28,18914125.39,33082905.36,Rafa Bednell,4/25/1970,Willette Ensley,3/19/1934
Damsels in Distress,Cine negro,1.29,20119781.64,19681032.54,Kiley Minero,1/4/2009,Bogart Perelli,4/5/2018
"Haunted World of Edward D. Wood Jr., The",Documental,2.93,25828777.53,58746633.62,Darline Ledamun,12/5/1970,Ashlen Hairyes,4/7/1976
"Delicate Balance, A",Bélico,2.49,29541605.37,31061639.6,Deny Lanston,5/8/2024,Burty Stithe,10/31/1965
I Saw What You Did,Drama,3.74,6956033.32,6900950.25,Zelig Tremblett,3/8/1989,Pippy Yukhnevich,10/8/1936
Modigliani,Ciencia ficción,1.03,18811712.33,11967818.05,Abbe Celle,7/24/2014,Merilee Hinstock,9/7/1970
"Odd Couple, The",Drama,2.28,22318654.81,17177706.94,Tymon Hagergham,5/8/2021,Evelyn Ivancevic,8/17/1962
Free Willy 3: The Rescue,Aventura,2.31,21436487.73,51453781.47,Brice Codlin,4/30/1998,Angelita Adnam,10/3/1981
In Bruges,Drama,3.77,6809881.36,15861625.83,Elvira Lampert,3/10/2014,Mabelle Lambrechts,10/13/1983
Contraband,Animación,2.52,13237496.78,22924686.86,Constance Moakler,3/13/1934,Sondra Borgnet,11/29/2021
Running on Empty,Acción,1.99,22299413.81,59086908.0,Sarita Pyser,12/24/1938,Haleigh Lambole,4/29/1967
Tai Chi Zero,Ciencia ficción,1.01,12263855.0,36218211.34,Niki Yakunikov,9/2/2005,Sybilla Kenwright,11/17/1992
Divorce - Italian Style (Divorzio all'italiana),Terror,3.19,25087325.68,19647474.17,Marcello Scipsey,9/18/1956,Gay Dangl,8/12/1977
State of Grace,Western,1.41,20386456.16,37504385.07,Philippe Perulli,4/4/1993,Darnall Ruperti,9/30/1956
Belizaire the Cajun,Terror,1.27,12217871.85,29022973.48,Freeman Drury,10/21/2002,Orella Midgely,5/11/2020
Steamboat Round the Bend,Suspense,3.97,6096897.61,11073326.81,Barclay Jessep,9/12/1957,Jeannie Julien,11/14/2021
Chasing Papi (a.k.a. Papi Chulo),Drama,3.28,20203867.52,32119406.73,Alister Brabant,7/18/2019,Laurice Yanov,4/5/2022
Pahat pojat,Comedia,1.13,20528805.44,38849363.76,Carly Featonby,5/2/1933,Lissie Ottery,4/9/1950
Bouncing Babies,Musical,1.16,8173012.9,21083552.33,Mattie Duddan,9/27/1984,Curtis Lande,12/27/1937
"Giant Spider Invasion, The",Suspense,2.1,10619104.46,22043480.9,Dot Johnston,5/4/1967,Waylan Veall,11/11/1947
Think Like a Man Too,Documental,2.21,20238798.05,35429064.29,Albertine Busby,5/29/1971,Leland Jee,5/26/1983
Safety Not Guaranteed,Documental,3.07,28327967.54,76132881.67,Liesa July,4/22/1938,Marena Marshalleck,3/18/1939
"Best of Ernie and Bert, The",Misterio,1.02,10481359.34,19571867.25,May Tyrone,3/3/1981,Sansone Isenor,2/4/2025
Night and the City,Suspense,1.46,24635488.79,64898913.32,Tobye Wignall,10/28/2002,Maurits Wick,11/18/2020
Who's Your Daddy?,Documental,1.15,28735139.91,14881487.07,Jaclin Klampt,7/7/1981,Thaxter Annis,11/1/2016
"Man Who Knew Too Much, The",Documental,3.1,7161064.86,18313358.18,Meyer Piddington,10/25/1957,Eleen Kyme,7/4/1931
Reykjavik Whale Watching Massacre,Acción,1.91,15960820.1,26488517.08,Karry Winwright,3/25/1972,Annice Layton,8/5/2016
"Woods, The",Western,3.88,24653635.6,16720972.22,Wells Belcham,9/12/2001,Norah Jakel,8/8/1999
Something Borrowed,Fantasía,3.49,9827200.47,25894064.76,Hanan Ansley,7/11/1986,Koralle Osant,7/19/1939
"Key, The",Aventura,1.86,24389544.82,36825338.66,Nowell Galbraith,2/29/2008,Kalle Toombs,7/19/2003
17 Girls (17 filles),Cine negro,2.03,27717681.93,16373433.63,Hedwiga Hagland,12/6/1999,Victoir Thiolier,8/22/2025
Abigail's Party,Ciencia ficción,1.11,8654911.84,10076640.1,Ransom Charrington,1/1/1981,Mabel Heigold,3/22/1949
Pirates of the Caribbean: At World's End,Animación,3.37,19999221.19,32572418.42,Angelico Praundlin,7/7/1954,Orel Macieiczyk,7/17/1981
Dragnet,Animación,2.48,22640564.46,34189738.63,Daron Smidmor,5/2/1953,Berkeley Lunge,8/23/2021
Crystal Fairy & the Magical Cactus and 2012,Fantasía,2.03,11019542.24,6670606.7,Malinde Ogelbe,11/26/2025,Millie Demanche,3/15/2017
Bridge of Dragons,Misterio,3.87,21644578.86,47543625.65,Cairistiona Gelderd,10/31/2021,Lynette Posthill,11/28/1991
Emotion,Histórico,2.67,23050201.58,39027178.62,Felice Wincott,6/15/1936,Nicole MacSweeney,4/17/1934
Arthur and the Revenge of Maltazard (Arthur et la vengeance de Maltazard),Cine negro,2.15,24152631.34,30337340.67,Jemmie Brigstock,7/24/1931,Tana Soles,10/11/1933
Holiday in Handcuffs,Western,3.11,26231130.18,19162207.16,Karlie McClunaghan,1/14/1937,Tilda Pitt,1/18/1974
"Killing Machine, The (Icarus)",Fantasía,1.3,12456970.27,35212013.3,Deerdre Goude,3/13/1939,Massimo Ochterlonie,3/13/2023
Metropolis,Suspense,2.99,22956825.6,62856241.79,Sarena Harrild,11/30/1959,Moyna Petrov,7/31/1989
PCU,Fantasía,1.54,12806115.35,29775509.38,Olin Dank,12/26/2013,Evania McTaggart,5/7/1958
Day Night Day Night,Misterio,3.28,16129283.88,18534821.63,Redford Ollive,5/4/1956,Sharity Stern,6/24/2004
Pledge This!,Musical,2.95,17424897.63,14953340.79,Shanna Gliddon,9/27/1997,Elana Oxe,2/25/1938
Bombshell,Ciencia ficción,1.45,14387674.06,26339126.87,Chilton Clayfield,12/29/1933,Shanie Rew,6/18/2013
Aladdin,Musical,3.16,8130611.13,10805969.99,Milli Boodell,9/20/1990,Eugene Oddy,1/21/1997
Messages Deleted,Aventura,1.48,13554498.94,39546418.95,Gerard Copner,7/16/1990,Tera Duckworth,10/2/1993
Happiness (Schastye),Romance,2.8,11024814.62,25823816.06,Marlowe Effnert,3/17/1937,Dev Mogra,8/20/2017
Something of Value,Documental,2.26,24783034.38,44738841.34,Aida Redbourn,11/29/1999,Yasmeen Bowcock,7/1/1944
How the West Was Fun,Drama,3.88,14018193.56,32487978.52,Arlina Bearfoot,12/7/1955,Leonidas Tumielli,9/24/2014
Dawn of the Dead,Suspense,1.78,7380661.27,20094551.06,Desi Pellingar,9/22/1979,D'arcy Kinnerley,4/11/2016
"Last Voyage, The",Comedia,2.54,19322235.55,16985343.04,Korie Goldstone,2/5/2008,Modesty Stepto,6/17/1996
"Sensation of Sight, The",Terror,1.18,23476200.04,34009445.49,Lemmy Garment,2/11/1995,Beale Willisch,2/27/2022
"Silent Night, Deadly Night III: Better Watch Out!",Fantasía,1.29,24368209.62,36022010.87,Dorothea Nobriga,12/17/1993,Carleton Wills,3/31/1999
Carriage to Vienna,Musical,2.04,17263297.58,20426879.53,Romy Tejada,8/27/1960,Bev Cornelleau,8/31/1956
Stitches,Comedia,3.82,8222594.11,8179324.51,Leandra Huelin,12/3/1943,Salomon Jiles,1/15/1999
"Wildest Dream, The",Comedia,3.4,21301063.27,26826132.06,Francisca Langtry,1/4/1934,Diena Pepperell,9/23/1983
"Incredible Petrified World, The",Documental,2.4,21110614.12,43932595.99,Philis Cumming,11/20/1984,Gary Toseland,10/22/1974
Liberty Stands Still,Cine negro,3.52,23055535.02,22050210.29,Denise Wrangle,7/10/1972,Deanne Jeffcoate,12/27/1971
Code Name: The Cleaner,Musical,1.87,12834730.69,8689570.54,Javier Ovington,2/1/2009,Ambrosio Stammers,4/5/1960
"Wreck of the Mary Deare, The",Histórico,1.28,5837828.41,13231456.1,Laureen Gawen,2/6/1986,Emmalynn Jendrusch,8/1/1975
It's My Party,Documental,1.62,21890915.53,57134654.55,Ainsley Daubney,2/5/1951,Grayce Reavell,9/4/1935
Make Your Move,Terror,3.55,23434969.34,66070520.64,Rhonda Dowzell,7/17/1945,Holmes Dumigan,3/4/1991
The Baby Maker,Musical,3.57,24624661.64,60292972.25,Bevvy Gonsalo,3/11/1935,Alena Plevey,2/11/1985
Two if by Sea,Histórico,2.06,15584107.46,16866132.52,Fiona Clapshaw,8/30/1934,Genevra Rentoll,4/4/1987
Susannah of the Mounties,Terror,3.91,19143814.83,37689072.2,Cecelia Hellens,10/24/1939,Alisun Halloran,10/28/1955
Joe Somebody,Romance,1.95,6461761.62,7328665.93,Kirby Von Salzberg,3/29/1936,Uta Blaxlande,7/18/1983
Ray Harryhausen: Special Effects Titan,Acción,2.14,17597837.16,42237715.39,Isaiah Semken,7/28/1940,Sid Mainz,6/30/1992
The Rise,Misterio,3.55,19790547.59,23222627.31,Iorgo Penrice,3/15/1977,Bendicty Bodicum,3/16/1952
Lakeboat,Western,3.87,11007610.98,25929833.29,Aluino Olsson,4/16/1978,Cori Purrier,10/17/1943
King Kong,Aventura,1.92,13190208.38,11067285.7,Ethelind Haddeston,11/30/1975,Ozzie Mousby,6/7/2020
Idiot's Delight,Acción,1.3,27861330.27,18444738.43,Belle Sommerton,8/24/2019,Hernando Hamsher,11/5/1956
"Princess for Christmas, A",Ciencia ficción,3.3,28693256.18,76048120.5,Janaya Silbersak,11/2/1960,Darby Scowcraft,11/28/2013
Happy Here and Now,Bélico,3.61,28991221.54,72190078.33,Dillon Ibbetson,3/27/2005,Muriel Greenman,8/28/1992
Steamboat Willie,Animación,1.63,22786705.77,45534580.35,Neda Drable,12/6/2011,Alyssa Maggiore,3/4/2012
"Apple Dumpling Gang Rides Again, The",Romance,3.11,14572449.27,36703114.93,Abba Moth,8/13/1984,Lucine Purviss,10/25/1954
Arc,Aventura,2.3,13675372.93,6919788.19,Benjie Pietrowski,2/7/2001,Shelly Fegan,9/1/1939
The Gardener,Aventura,3.53,28805386.8,54259649.1,Gayleen Pryell,3/20/2013,Barrie Scorthorne,7/24/1946
Blue Skies,Cine negro,3.4,9859843.83,21623198.9,Christoph Frichley,2/3/1968,Gannie Kopecka,12/21/1953
